지점,일시,습도,강수량,최저온도,평균온도,최고온도
108,2011-1-1,61.0, ,-10.4,-6.8,-2.9
108,2011-1-2,62.3, ,-8.5,-5.4,-1.2
108,2011-1-3,66.4, ,-8.5,-4.5,-0.3
108,2011-1-4,66.4, ,-7.4,-3.9,-1.7
108,2011-1-5,62.9, ,-7.7,-4.0,-1.8
108,2011-1-6,53.5, ,-9.8,-7.6,-4.6
108,2011-1-7,48.8, ,-10.6,-7.0,-2.9
108,2011-1-8,67.9,0.2,-8.2,-3.6,0.1
108,2011-1-9,52.6,0.0,-10.3,-7.0,-0.3
108,2011-1-10,44.0, ,-11.8,-8.2,-4.6
108,2011-1-11,70.3,1.9,-7.8,-5.4,-2.7
108,2011-1-12,44.6, ,-11.1,-8.2,-4.9
108,2011-1-13,47.0, ,-11.1,-5.9,-0.6
108,2011-1-14,59.1,1.1,-6.9,-3.8,0.3
108,2011-1-15,40.0, ,-15.7,-12.2,-6.9
108,2011-1-16,45.4, ,-17.8,-14.5,-10.7
108,2011-1-17,49.8, ,-14.1,-9.7,-4.8
108,2011-1-18,48.9, ,-10.8,-6.7,-2.7
108,2011-1-19,46.4,0.0,-10.0,-6.6,-3.2
108,2011-1-20,43.6, ,-10.5,-8.2,-4.7
108,2011-1-21,44.4, ,-9.7,-6.8,-3.2
108,2011-1-22,59.8,0.4,-7.1,-4.3,-0.8
108,2011-1-23,72.5,5.3,-7.1,-4.5,-2.1
108,2011-1-24,60.8, ,-10.9,-8.8,-5.8
108,2011-1-25,60.1, ,-11.9,-8.4,-4.4
108,2011-1-26,51.5, ,-10.7,-8.5,-5.2
108,2011-1-27,47.3, ,-11.5,-8.9,-5.7
108,2011-1-28,43.3, ,-10.5,-7.9,-4.3
108,2011-1-29,43.1, ,-11.5,-9.1,-5.5
108,2011-1-30,43.5, ,-13.6,-10.1,-5.7
108,2011-1-31,61.5,0.0,-12.7,-6.2,-1.8
108,2011-2-1,68.0, ,-4.2,-0.2,5.0
108,2011-2-2,60.9, ,-2.8,1.3,7.0
108,2011-2-3,75.9, ,-1.3,1.5,4.9
108,2011-2-4,77.8, ,-0.5,1.2,3.5
108,2011-2-5,72.9, ,-0.8,1.1,5.5
108,2011-2-6,75.4, ,-2.1,0.3,2.7
108,2011-2-7,63.6, ,-2.8,0.3,4.2
108,2011-2-8,44.9, ,-0.5,2.9,8.5
108,2011-2-9,46.5, ,-4.1,-1.2,2.1
108,2011-2-10,35.0, ,-5.6,-2.1,2.7
108,2011-2-11,42.0, ,-6.2,-2.9,1.8
108,2011-2-12,43.0, ,-9.2,-5.9,-1.8
108,2011-2-13,39.5, ,-9.0,-4.8,-0.2
108,2011-2-14,46.5, ,-6.7,-3.4,-0.2
108,2011-2-15,52.1, ,-5.5,-1.8,2.9
108,2011-2-16,55.5, ,-5.0,-0.6,4.3
